anio;mes;destino;tipo;energia
2024;4;Chile;Exportación;0,0
2024;4;Paraguay;Exportación;0,0
2024;4;Uruguay;Exportación;0,0
2024;4;Bolivia;Exportación;10,2
2024;4;Brasil;Importación;0,0
2024;4;Chile;Importación;6961,4
2024;4;Paraguay;Importación;11178,5
2024;4;Uruguay;Importación;0,0
2024;4;Bolivia;Importación;12,4
2024;5;Brasil;Exportación;0,0
2024;5;Chile;Exportación;0,0
2024;5;Paraguay;Exportación;0,0
2024;5;Uruguay;Exportación;2880,0
2024;5;Bolivia;Exportación;10,8
2024;5;Brasil;Importación;55187,0
2024;5;Chile;Importación;4495,0
2024;5;Paraguay;Importación;10800,0
2024;5;Uruguay;Importación;304307,0
2024;5;Bolivia;Importación;63990,9
